GP_Type,Country,Practice_Type,Gender,Age,'\'Sample Count\'','\'Average Tot Expenses\'',EER,'\'Average Total Expenses\'','\'Average Office and General Business\'','\'Average Employee\'','\'Average Interest\'','\'Average Other\'','Average Net Capital Allowances\'','\'\%Zero Employee\'','\'\%Zero Car and Travel\'','\'Median Income Before Tax\''
Salaried,England,Non-dispensing,Female,<40,4.075759,-1.420677,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,England,Non-dispensing,Female,<40,-0.196343,-1.436667,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,England,Non-dispensing,Female,<40,0.880658,-1.428291,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,England,Non-dispensing,Female,<40,0.880658,-1.406209,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,England,Non-dispensing,Female,<40,0.198557,-1.431337,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,England,Non-dispensing,Female,<40,0.234457,-1.418392,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,England,Non-dispensing,Female,<40,-0.088643,-1.410778,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,England,Non-dispensing,Female,<40,0.449857,-1.423722,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,England,Non-dispensing,Female,<40,0.270357,-1.419154,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,England,Non-dispensing,Female,<40,0.054957,-1.404687,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,England,Non-dispensing,Female,<40,-0.016843,-1.432859,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,England,Non-dispensing,Female,<40,0.198557,-1.429052,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,England,Non-dispensing,Female,<40,0.054957,-1.421438,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,England,Non-dispensing,Female,<40,0.198557,-1.408494,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,England,Non-dispensing,Female,<40,3.357759,-1.422961,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
