GP_Type,Contract_Type,Country,Practice_Type,Gender,Age,Rurality,Region,Practice_Registered_Patients,Weekly Working Hours,Range_of_Gross_Earnings_from_Self_Employment_£,Range_of_Total_Expenses_from_Self_Employment_£,Range_of_Income_Before_Tax_from_Self_Employment_£,Range_of_Total_Income_Before_Tax_£,Sample Count,Estimated Population,Average SE Gross Earnings,Average SE Expenses,Average SE Income Before Tax,Average Emp Gross Earnings,Average Emp Expenses,Average Emp Income Before Tax,Average Tot Gross Earnings,Average Tot Expenses,Average Tot Income Before Tax,EER,Income Before Tax Standard Error,Median Income Before Tax,Average Total Expenses,Average Office and General Business,Average Premises,Average Employee,Average Car and Travel,Average Interest,Average Other,Average Net Capital Allowances,%Zero Office and General Business,%Zero Premises,%Zero Employee,%Zero Car and Travel,%Zero Interest,%Zero Other,%Zero Net Capital Allowances,Count_of_GPs,Percentage_of_GPs_%,Cumulative_Percentage_of_GPs_%,GE Median,GE Q1,GE Q3,GE D1,GE D9,TE Median,IBT Q1,IBT Q3,IBT D1,IBT D9
Salaried,GPMS,England,All,All,All,All,All,All,All,,,,,6400,13450,20100,9500,10500,59600,900,58700,79700,10500,69200,,290,64200,,,,,,,,,,,,,,,,,,,66600,49700,88900,34800,121600,1700,48000,84400,33300,109200
Salaried,GPMS,England,All,All,All,All,All,All,All,,,,"0 - 25,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,710,5.3,5.3,,,,,,,,,,
Salaried,GPMS,England,All,All,All,All,All,All,All,,,,"25,000 - 50,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3020,22.5,27.8,,,,,,,,,,
Salaried,GPMS,England,All,All,All,All,All,All,All,,,,"50,000 - 75,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4930,36.7,64.5,,,,,,,,,,
Salaried,GPMS,England,All,All,All,All,All,All,All,,,,"75,000 - 100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2870,21.4,85.9,,,,,,,,,,
Salaried,GPMS,England,All,All,All,All,All,All,All,,,,"100,000+",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900,14.1,100,,,,,,,,,,
Salaried,GPMS,England,All,All,All,All,All,"Fewer than 5,000",All,,,,,450,900,19300,7400,12000,59900,1000,58900,79300,8400,70800,,1378,63200,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GPMS,England,All,All,All,All,All,"5,000 to fewer than 10,000",All,,,,,1950,4000,19600,8600,11000,58700,900,57800,78400,9500,68900,,515,64400,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GPMS,England,All,All,All,All,All,"10,000 to fewer than 15,000",All,,,,,1950,4100,22900,11500,11400,58200,900,57200,81000,12400,68600,,543,63300,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GPMS,England,All,All,All,All,All,"15,000 to fewer than 20,000",All,,,,,1000,2200,17700,8200,9500,60300,900,59400,78000,9100,68900,,709,64700,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaried,GPMS,England,All,All,All,All,All,"20,000 and over",All,,,,,1050,2250,18400,9800,8600,63100,1000,62100,81500,10800,70600,,747,65500,,,,,,,,,,,,,,,,,,,,,,,,,,,,
